indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-05,4947.102,5016.088,4898.068,5051.626,5023.096,77224081200,1.23229659205e+12,75.994,0.015361
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-08,5023.096,5045.694,4997.481,5146.949,5131.881,85503508500,1.309924508e+12,108.785,0.021657
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-09,5131.881,5145.978,5042.963,5147.454,5113.534,72989381800,1.1508085886e+12,-18.347,-0.003575
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-10,5113.534,5049.197,5001.489,5164.162,5106.036,59696900100,1.0054322831e+12,-7.498,-0.001466
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-11,5106.036,5101.44,5050.765,5122.457,5121.593,56399052200,9.746657676e+11,15.557,0.003047
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-12,5121.593,5143.343,5103.401,5178.191,5166.35,62562785400,1.0601646068e+12,44.757,0.008739
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-15,5166.35,5174.418,5048.742,5176.795,5062.993,63780398400,1.0649876934e+12,-103.357,-0.020006
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-16,5062.993,5004.412,4842.1,5029.684,4887.432,55080140700,8.95420555855e+11,-175.561,-0.034675
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-17,4887.432,4890.551,4767.216,4983.658,4967.898,53710116800,8.30266749716e+11,80.466,0.016464
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-18,4967.898,4942.52,4780.873,4966.767,4785.356,50744089900,7.8584507522e+11,-182.542,-0.036744
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-19,4785.356,4689.929,4476.501,4744.081,4478.364,45268962600,6.85458198736e+11,-306.992,-0.064152
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-23,4478.364,4471.613,4264.772,4577.939,4576.492,47352612800,6.93617191338e+11,98.128,0.021912
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-24,4576.492,4604.579,4552.129,4691.768,4690.15,54300370900,8.15062691654e+11,113.658,0.024835
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-25,4690.15,4711.763,4483.548,4720.701,4527.779,57279753300,8.65379730764e+11,-162.371,-0.03462
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-26,4527.779,4399.933,4139.53,4456.896,4192.873,56521787400,7.87835743033e+11,-334.906,-0.073967
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-29,4192.873,4289.771,3875.05,4297.475,4053.03,67378634900,9.0427139504e+11,-139.843,-0.033353
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-30,4053.03,4006.754,3847.88,4279.969,4277.222,70917663300,9.41524659857e+11,224.192,0.055315
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-01,4277.222,4214.15,4043.367,4317.053,4053.7,59876942700,8.38070926187e+11,-223.522,-0.052259
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-02,4053.7,4058.624,3795.253,4080.387,3912.767,58601561200,7.36006857593e+11,-140.933,-0.034767
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-03,3912.767,3793.712,3629.556,3927.128,3686.915,54816311100,6.48054100385e+11,-225.852,-0.057722
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-06,3686.915,3975.214,3653.037,3975.214,3775.912,83113928600,9.43420425904e+11,88.997,0.024139
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-07,3775.912,3654.778,3585.399,3750.57,3727.125,69881868800,7.76072544948e+11,-48.787,-0.012921
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-08,3727.125,3467.399,3421.525,3599.253,3507.192,68035692200,7.00248338565e+11,-219.933,-0.059009
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-09,3507.192,3432.454,3373.54,3748.479,3709.33,65691461200,6.73310983764e+11,202.138,0.057635
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-07-10,3709.33,3707.458,3677.435,3959.22,3877.803,58636425500,6.80434151219e+11,168.473,0.045419
